root	clade_name
1	Pan paniscus
2	Pan troglodytes
3	Homo
4	Gorilla
5	Ponginae
6	Hylobatidae
7	Cercopithecoidea
8	Platyrrhini
9	Tarsiiformes
10	Strepsirrhini
11	Dermoptera
12	Scandentia
13	Glires
14	Laurasiatheria
15	Afrotheria
16	Metatheria
17	Prototheria
18	Sauropsida
19	Amphibia
20	Coelacanthimorpha
21	Actinopterygii
22	Tunicata
23	Cephalochordata
24	Ambulacraria
25	Ecdysozoa
26	Spiralia
27	Cnidaria
28	Ctenophora
29	Placozoa
30	Porifera
31	Choanoflagellata
32	Fungi
33	Amoebozoa
34	Viridiplantae
35	Discoba
36	Rhodophyta
37	Sar
38	Metamonada
