root	clade_name
3	Dinosauria
4	Testudinata
5	Lepidosauria
6	Mammalia
7	Amphibia
8	Coelacanthimorpha
9	Actinopterygii
10	Tunicata
11	Cephalochordata
12	Echinodermata (1); Hemichordata (1)
13	Ecdysozoa (43); Spiralia (2)
14	Spiralia
15	Cnidaria
16	Ctenophora
17	Placozoa
18	Porifera
19	Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
20	Fungi
21	Amoebozoa
22	Viridiplantae
23	Discoba (6); Metamonada (1); Sar (1)
24	Rhodophyta
25	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
26	Metamonada
