root	clade_name	counts	reason
1	Uncertain: Candida (1)	1	uncertain
2	Uncertain: Candida (5); Lodderomyces (1)	5; 1	uncertain
3	Scheffersomyces	1	
4	Uncertain: Debaryomyces (1); Meyerozyma (1); Millerozyma (1); Spathaspora (1); Yamadazyma (1)	1; 1; 1; 1; 1	uncertain
5	Saccharomycetes	16; 3; 1	majority of species
6	Pezizomycotina	102	
7	Taphrinomycotina	7	
8	Basidiomycota	30	
9	Mucoromycota	1	
10	Chytridiomycota	2	
11	Blastocladiomycota	1	
12	Metazoa	161; 3; 2; 1; 1; 1	normalized entropy < 0.7
13	Amoebozoa	4	
14	Viridiplantae	75	
15	Discoba	6; 1; 1	normalized entropy < 0.7
16	Rhodophyta	2	
17	Sar	38; 1; 1; 1	normalized entropy < 0.7
18	Metamonada	1	
