root	clade_name
1	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Sauropsida (1); Sauria (1); Archelosauria (1); Archosauria (1); Crocodylia (1); Alligatoridae (1); Alligatorinae (1); Alligator (1)
2	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Sauropsida (1); Sauria (1); Archelosauria (1); Archosauria (1); Crocodylia (1); Alligatoridae (1); Alligatorinae (1); Alligator (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Sauropsida (1); Sauria (1); Archelosauria (1); Archosauria (1); Dinosauria (1); Saurischia (1); Theropoda (1); Coelurosauria (1); Aves (1); Neognathae (1); Neoaves (5); Galloanserae (1) (1)
4	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Sauropsida (1); Sauria (1); Archelosauria (1); Testudinata (1); Testudines (1); Cryptodira (1); Durocryptodira (2); Trionychia (1) (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Sauropsida (1); Sauria (1); Lepidosauria (1); Squamata (1); Bifurcata (1); Unidentata (1); Episquamata (1); Toxicofera (1); Iguania (1); Serpentes (1) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (69); Prototheria (1) (1)
7	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amphibia (1); Batrachia (1); Anura (1); Pipoidea (1); Pipidae (1); Xenopodinae (1); Xenopus (1); Silurana (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Coelacanthimorpha (1); Coelacanthiformes (1); Coelacanthidae (1); Latimeria (1)
9	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (18); Holostei (1) (1)
10	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Tunicata (1); Ascidiacea (1); Phlebobranchia (1); Cionidae (1); Ciona (1)
11	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Cephalochordata (1); Leptocardii (1); Amphioxiformes (1); Branchiostomatidae (1); Branchiostoma (1)
12	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Echinodermata (1); Hemichordata (1) (1)
13	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (43); Spiralia (2) (1)
14	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Spiralia (1); Lophotrochozoa (1); Platyhelminthes (1); Cestoda (1); Trematoda (1) (1)
