Species Name,Number of genes,Number of COGs
Chrysochloris asiatica,19453,7256
Sphaeroforma arctica,7099,3222
Erythranthe guttata,25444,7097
Cryptococcus gattii,5784,3885
Taphrina deformans,3860,2643
Saprolegnia diclina,11817,5446
Histoplasma capsulatum,7492,4477
Bursaphelenchus xylophilus,10790,4329
Exophiala dermatitidis,8276,5108
Toxoplasma gondii,7351,5194
Bathycoccus prasinos,5419,3193
Sclerotinia sclerotiorum,6028,3878
Metarhizium robertsii,10204,5930
Pyrenophora teres,9807,5956
Neospora caninum,6785,4927
Strigamia maritima,10922,4655
Nematostella vectensis,18786,5919
Pongo abelii,19608,7921
Thalassiosira oceanica,13527,6089
Musa acuminata,29852,6341
Bombus impatiens,9268,5190
Nicotiana sylvestris,30432,7425
Rhodnius prolixus,10898,4997
Sorghum bicolor,29712,7979
Echinococcus multilocularis,6630,3311
Phaseolus vulgaris,25183,7130
Naegleria gruberi,7635,2869
Pelodiscus sinensis,17838,6477
Panicum virgatum,66489,8852
Kluyveromyces lactis,4777,3308
Monodelphis domestica,20470,6913
Cyphellophora europaea,10104,5693
Gasterosteus aculeatus,19605,6527
Fukomys damarensis,19372,7256
Eutrema salsugineum,23401,6885
Rhodosporidium toruloides,6187,3784
Ustilago hordei,6277,4232
Trichomonas vaginalis,13711,1753
Albugo laibachii,8850,4335
Maylandia zebra,22157,6937
Magnaporthiopsis poae,9013,5814
Octodon degus,20188,7194
Schizosaccharomyces cryophilus,4424,2841
Pseudozyma flocculosa,6082,4121
Naumovozyma castellii,5265,3325
Ficedula albicollis,14674,6299
Oryza rufipogon,25455,7837
Byssochlamys spectabilis,8456,5046
Poecilia formosa,22575,6886
Tarsius syrichta,20355,7296
Nelumbo nucifera,23332,6745
Schizophyllum commune,9404,4952
Neolamprologus brichardi,21859,6762
Daphnia pulex,14842,4946
Zygosaccharomyces rouxii,4806,3356
Amborella trichopoda,17668,6238
Sordaria macrospora,9423,6044
Mustela putorius,18505,7035
Stegastes partitus,21933,6959
Phytophthora sojae,16488,6869
Coniosporium apollinis,8203,5188
Heterocephalus glaber,20382,7288
Setosphaeria turcica,9802,5978
Chlorocebus sabaeus,19029,7631
Nannospalax galili,20438,7396
Drosophila melanogaster,12725,6369
Piriformospora indica,7573,4151
Callithrix jacchus,20556,7601
Hydra vulgaris,12663,4335
Tarenaya hassleriana,26342,6893
Fomitiporia mediterranea,8365,4524
Chinchilla lanigera,19072,7290
Zea mays,31783,7585
Ovis aries,20477,7488
Aquilegia coerulea,21052,6577
Arabis alpina,17463,5536
Podospora anserina,9482,5792
Camelina sativa,72852,6910
Rattus norvegicus,22072,7390
Musca domestica,13022,5849
Sorex araneus,18921,7040
Colletotrichum gloeosporioides,14388,7171
Ailuropoda melanoleuca,19085,7361
Loa loa,8566,4343
Vanderwaltozyma polyspora,5077,3251
Acyrthosiphon pisum,21518,5560
Beauveria bassiana,9386,5537
Cladophialophora psammophila,11627,5806
Theobroma cacao,23132,7394
Arthroderma otae,8009,5182
Wallemia sebi,4430,3011
Candida tenuis,5154,3360
Aegilops tauschii,28152,6667
Mnemiopsis leidyi,8994,3739
Erinaceus europaeus,19308,7266
Gregarina niphandrodes,2504,1432
Loxodonta africana,19893,7151
Haliaeetus leucocephalus,15150,6397
Stereum hirsutum,10547,5291
Wickerhamomyces ciferrii,5461,3252
Ostreococcus tauri,5732,3433
Pediculus humanus,9205,5021
Micromonas sp. RCC299,7224,4096
Sarcophilus harrisii,17950,6760
Saccoglossus kowalevskii,17582,5880
Trichechus manatus,18012,7158
Chelonia mydas,17558,6828
Gadus morhua,19457,6553
Tuber melanosporum,5871,3881
Spizellomyces punctatus,6658,3878
Capsaspora owczarzaki,6467,3567
Vitis vinifera,24620,6971
Zootermopsis nevadensis,10709,5312
Thecamonas trahens,6639,3250
Chlorella variabilis,7576,4012
Macrophomina phaseolina,10542,5530
Pseudocercospora fijiensis,9626,5805
Fragaria vesca,20739,6541
Blastomyces dermatitidis,7557,5104
Punctularia strigosozonata,9280,4879
Plasmodium falciparum,4760,3647
Verticillium dahliae,9851,6083
Cricetulus griseus,21288,7381
Microsporum gypseum,8079,5296
Coniophora puteana,9356,4348
Pseudozyma brasiliensis,5636,3869
Pan paniscus,20084,7830
Parastagonospora nodorum,10142,6193
Populus trichocarpa,35773,7420
Strongyloides ratti,6538,3252
Ichthyophthirius multifiliis,6294,2548
Hammondia hammondi,7177,5274
Pneumocystis murina,3187,2392
Gallus gallus,14827,6183
Mortierella verticillata,8770,3997
Bos taurus,19856,7295
Allomyces macrogynus,11568,3318
Baudoinia compniacensis,8168,5233
Nipponia nippon,14904,6203
Paramecium tetraurelia,20271,3848
Pseudopodoces humilis,15121,6397
Cordyceps militaris,8580,5210
Haplochromis burtoni,22412,6940
Coccidioides immitis,7726,4941
Prunus persica,24564,7121
Tupaia chinensis,20155,7413
Canis lupus,19214,7323
Entamoeba dispar,7597,3777
Pteropus alecto,17957,7267
Anolis carolinensis,17963,6381
Nomascus leucogenys,17993,7358
Beta vulgaris,22029,6621
Elephantulus edwardii,20278,7176
Trichoplax adhaerens,9285,4214
Mus musculus,20812,7445
Microplitis demolitor,10923,5475
Manihot esculenta,28511,7193
Pseudozyma hubeiensis,6132,4200
Bubalus bubalis,21114,7397
Galeopterus variegatus,22571,7497
Spathaspora passalidarum,5564,3639
Takifugu rubripes,18144,5822
Gaeumannomyces graminis,10615,6550
Mixia osmundae,5229,3451
Macaca mulatta,20908,7401
Mesocricetus auratus,18985,7210
Leptosphaeria maculans,8962,5802
Bombyx mori,12420,6108
Chlamydomonas reinhardtii,8298,4001
Cryptosporidium muris,2578,1807
Gorilla gorilla,20231,8094
Balaenoptera acutorostrata,18160,7227
Galdieria sulphuraria,4372,2471
Candida tropicalis,5671,3554
Aedes aegypti,14293,5927
Auxenochlorella protothecoides,4983,3056
Guillardia theta,10939,4047
