cog_id,root,Dscore,Statistic,Pvalue,AdjPvalue,clade_name,protein_id,ssp_id,preferred_name
NOG284359,1,0.9428,8.196,1.24e-16,7.89e-13,melanogaster complex,FBpp0099610,7227,RpL41
NOG282023,1,0.9682,8.022,5.19e-16,3.31e-12,melanogaster complex,FBpp0292746,7227,CG42798
NOG26418,1,0.9157,7.877,1.68e-15,1.07e-11,melanogaster complex,FBpp0075144,7227,RAF2
NOG237253,1,0.9365,7.839,2.26e-15,1.44e-11,melanogaster complex,FBpp0288965,7227,CG42305
NOG280946,1,0.9047,7.838,2.29e-15,1.46e-11,melanogaster complex,FBpp0302858,7227,CG43711
NOG282164,1,0.9577,7.822,2.6e-15,1.66e-11,melanogaster complex,FBpp0291095,7227,CG15930
NOG83187,1,0.9365,7.819,2.67e-15,1.7e-11,melanogaster complex,FBpp0100178,7227,mt:ATPase8
NOG283087,1,0.9682,7.806,2.95e-15,1.88e-11,melanogaster complex,FBpp0304545,7227,CG33792
NOG281627,1,0.9577,7.769,3.95e-15,2.51e-11,melanogaster complex,FBpp0072832,7227,CG32295
NOG270665,1,0.9261,7.734,5.23e-15,3.33e-11,melanogaster complex,FBpp0086834,7227,CG4744
NOG252955,1,0.9682,7.729,5.43e-15,3.46e-11,melanogaster complex,FBpp0290956,7227,CG42587
NOG88928,1,0.9682,7.727,5.52e-15,3.52e-11,melanogaster complex,FBpp0290078,7227,CG42526
NOG88939,1,0.8412,7.726,5.56e-15,3.54e-11,melanogaster complex,FBpp0111330,7227,CG34222
NOG281806,1,0.9682,7.713,6.15e-15,3.92e-11,melanogaster complex,FBpp0111678,7227,CG34460
NOG84056,1,0.9047,7.675,8.3e-15,5.29e-11,melanogaster complex,FBpp0111372,7227,CG34263
NOG135397,1,0.9259,7.67,8.63e-15,5.49e-11,melanogaster complex,FBpp0289550,7227,Sfp84E
NOG267796,1,0.9492,7.669,8.65e-15,5.51e-11,melanogaster complex,FBpp0074435,7227,CG7406
NOG84405,1,0.9682,7.663,9.11e-15,5.8e-11,melanogaster complex,FBpp0291013,7227,CG42597
NOG87413,1,0.9492,7.648,1.02e-14,6.49e-11,melanogaster complex,FBpp0111440,7227,CG34326
NOG281730,1,0.9069,7.634,1.14e-14,7.27e-11,melanogaster complex,FBpp0085986,7227,CG10912
NOG282162,1,0.9492,7.607,1.4e-14,8.93e-11,melanogaster complex,FBpp0075288,7227,CG12486
NOG279987,1,0.9047,7.601,1.47e-14,9.34e-11,melanogaster complex,FBpp0304492,7227,OS9
NOG282414,1,0.9069,7.601,1.47e-14,9.39e-11,melanogaster complex,FBpp0292825,7227,CG42808
NOG282011,1,0.9032,7.599,1.5e-14,9.53e-11,melanogaster complex,FBpp0085323,7227,CG14471
NOG83440,1,0.9492,7.595,1.54e-14,9.8e-11,melanogaster complex,FBpp0071380,7227,CG2898
NOG250182,1,0.9365,7.587,1.64e-14,1.05e-10,melanogaster complex,FBpp0301131,7227,CG43446
NOG84124,1,0.8942,7.58,1.72e-14,1.1e-10,melanogaster complex,FBpp0297289,7227,CG43218
NOG281615,1,0.8942,7.57,1.87e-14,1.19e-10,melanogaster complex,FBpp0291511,7227,CG15597
NOG89021,1,0.8942,7.562,1.99e-14,1.26e-10,melanogaster complex,FBpp0110507,7227,CG40298
NOG135613,1,0.9259,7.558,2.05e-14,1.3e-10,melanogaster complex,FBpp0076340,7227,mtrm
NOG83977,1,0.8942,7.551,2.16e-14,1.38e-10,melanogaster complex,FBpp0079107,7227,CG14538
NOG283063,1,0.9069,7.518,2.78e-14,1.77e-10,melanogaster complex,FBpp0292471,7227,RU
NOG107057,1,0.8942,7.491,3.43e-14,2.18e-10,melanogaster complex,FBpp0071487,7227,IM4
NOG281557,1,0.8857,7.484,3.61e-14,2.3e-10,melanogaster complex,FBpp0111297,7227,CG34189
NOG83733,1,0.9047,7.462,4.25e-14,2.71e-10,melanogaster complex,FBpp0111314,7227,CG34206
NOG83599,1,0.8942,7.46,4.32e-14,2.75e-10,melanogaster complex,FBpp0290298,7227,CG34141
NOG281382,1,0.8942,7.432,5.34e-14,3.4e-10,melanogaster complex,FBpp0071345,7227,CG32694
NOG84866,1,0.9047,7.422,5.78e-14,3.68e-10,melanogaster complex,FBpp0293416,7227,CG43090
NOG282132,1,0.8857,7.415,6.07e-14,3.87e-10,melanogaster complex,FBpp0305803,7227,CG43954
NOG87682,1,0.873,7.409,6.36e-14,4.05e-10,melanogaster complex,FBpp0290958,7227,CG42590
NOG83395,1,0.8476,7.323,1.21e-13,7.7e-10,melanogaster complex,FBpp0303057,7227,CG43732
NOG255784,1,0.8942,7.31,1.33e-13,8.5e-10,melanogaster complex,FBpp0271737,7227,fos28F
NOG88884,1,0.9365,7.306,1.38e-13,8.76e-10,melanogaster complex,FBpp0100185,7227,mt:ND6
NOG83400,1,0.8857,7.304,1.4e-13,8.93e-10,melanogaster complex,FBpp0304787,7227,CG43851
NOG237267,1,0.8222,7.297,1.47e-13,9.36e-10,melanogaster complex,FBpp0082688,7227,CG32855
NOG88951,1,0.8306,7.293,1.51e-13,9.64e-10,melanogaster complex,FBpp0085788,7227,CG15071
NOG133223,1,0.8919,7.291,1.54e-13,9.82e-10,melanogaster complex,FBpp0073854,7227,CG6324
